vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=3,batch_sz=2048,mode=0] exmap:0
space: 180.615 GB 
Switching to workload ratios: dr=0.5 dw=0.5 nr=0.5 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch
128,33809,242.234,4.6875,vmcache,32,1000,tpcc,2048,94.5907,52.6516,261,57375,1202,1,2206.73
129,33634,245.52,6.10156,vmcache,32,1000,tpcc,2048,94.5453,53.0849,239,41165,1566,1,2421.47
130,36241,256.73,0,vmcache,32,1000,tpcc,2048,94.88,53.3576,270,13366,0,1,2227.67
131,34408,243.574,3.73438,vmcache,32,1000,tpcc,2048,94.5847,53.9162,260,62940,961,1,2420.77
132,33712,240.828,1.67188,vmcache,32,1000,tpcc,2048,94.1406,54.5487,268,75572,431,1,2437.81
133,38389,264.301,0,vmcache,32,1000,tpcc,2048,94.6475,54.7484,286,0,0,1,0
134,34500,243.266,4.07031,vmcache,32,1000,tpcc,2048,94.4132,55.2767,245,57912,1050,1,2413
135,38538,262.453,0,vmcache,32,1000,tpcc,2048,94.916,55.4752,282,0,0,1,0
136,35617,242.598,3.53125,vmcache,32,1000,tpcc,2048,94.5951,56.0476,263,65306,917,1,2418.74
137,35116,242.828,1.90625,vmcache,32,1000,tpcc,2048,94.2047,56.6571,265,71573,495,1,2385.77
138,39406,262.312,0,vmcache,32,1000,tpcc,2048,94.711,56.8563,282,0,0,1,0
139,36021,243.082,3.82422,vmcache,32,1000,tpcc,2048,94.4339,57.408,249,61486,1004,1,2364.85
140,39951,264.031,0,vmcache,32,1000,tpcc,2048,94.9448,57.6087,285,0,0,1,0
141,37457,246.355,5.38672,vmcache,32,1000,tpcc,2048,94.7389,58.1288,304,56053,1437,1,2335.54
142,37795,247.539,5.24219,vmcache,32,1000,tpcc,2048,94.6235,58.6061,291,48712,1392,1,2319.62
143,37726,245.098,2.77734,vmcache,32,1000,tpcc,2048,94.4118,59.1318,262,56955,740,1,2278.2
144,40574,263.668,0,vmcache,32,1000,tpcc,2048,94.9292,59.331,299,0,0,1,0
145,38276,246.238,4.8125,vmcache,32,1000,tpcc,2048,94.7715,59.8294,271,52362,1300,1,2276.61
146,38360,245.52,3.73438,vmcache,32,1000,tpcc,2048,94.5161,60.3772,260,60843,998,1,2253.44
147,39846,254.832,5.8125,vmcache,32,1000,tpcc,2048,94.9979,60.5705,316,0,1559,1,0
148,40785,257.66,0,vmcache,32,1000,tpcc,2048,94.8946,61.0705,289,51176,0,1,2225.04
149,39361,246.855,3.67969,vmcache,32,1000,tpcc,2048,94.704,61.5906,284,56078,1003,1,2243.12
150,39896,247.02,3.58203,vmcache,32,1000,tpcc,2048,94.5198,62.107,277,55341,995,1,2213.64
151,40518,251.168,5.15625,vmcache,32,1000,tpcc,2048,94.9478,62.3221,315,4294,1414,1,2147
152,42321,261.328,0,vmcache,32,1000,tpcc,2048,94.8611,62.8216,297,50637,0,1,2201.61
153,40697,246.617,4.76562,vmcache,32,1000,tpcc,2048,94.7076,63.3215,310,52871,1349,1,2202.96
154,39976,241.918,6.48438,vmcache,32,1000,tpcc,2048,94.5407,63.8174,283,52532,1818,1,2188.83
155,40429,247.109,4.26953,vmcache,32,1000,tpcc,2048,94.3709,64.3281,292,54157,1209,1,2166.28
156,44947,263.434,0,vmcache,32,1000,tpcc,2048,94.8936,64.5284,343,0,0,1,0
157,41534,243.758,1.91016,vmcache,32,1000,tpcc,2048,94.5746,65.1142,270,67295,546,1,2170.81
158,42183,248.668,4.51953,vmcache,32,1000,tpcc,2048,94.4494,65.6069,264,51126,1284,1,2130.25
159,45963,265.238,0,vmcache,32,1000,tpcc,2048,94.9813,65.8081,311,0,0,1,0
160,42161,248.84,3.95703,vmcache,32,1000,tpcc,2048,94.832,66.3142,280,53411,1121,1,2136.44
161,43024,245.84,3.07812,vmcache,32,1000,tpcc,2048,94.5979,66.8609,317,60661,886,1,2166.46
162,40488,237.383,4.39062,vmcache,32,1000,tpcc,2048,94.5747,67.2839,295,40823,1249,1,2148.58
163,44317,250.414,3.01562,vmcache,32,1000,tpcc,2048,94.9993,67.5104,328,6287,865,1,2095.67
164,45255,256.082,0,vmcache,32,1000,tpcc,2048,94.8251,68.0512,301,58038,0,1,2149.56
165,43673,245.52,3.67578,vmcache,32,1000,tpcc,2048,94.5786,68.6047,294,61806,1069,1,2207.36
166,43347,243.996,4.66016,vmcache,32,1000,tpcc,2048,94.5539,69.0423,293,42457,1366,1,2234.58
167,47222,258.305,3.08203,vmcache,32,1000,tpcc,2048,94.9958,69.2766,305,6953,921,1,2317.67
168,45489,248.547,0.5,vmcache,32,1000,tpcc,2048,94.7989,69.8184,307,59393,142,1,2284.35
169,44881,244.922,3.39453,vmcache,32,1000,tpcc,2048,94.5143,70.3909,333,64870,980,1,2316.79
170,45428,245.871,3.83203,vmcache,32,1000,tpcc,2048,94.3247,70.9186,332,57336,1125,1,2389
171,48251,262.746,0,vmcache,32,1000,tpcc,2048,94.8689,71.1168,355,0,0,1,0
172,46468,247.242,4.79297,vmcache,32,1000,tpcc,2048,94.6914,71.6392,322,56610,1421,1,2358.75
173,45822,244.277,1.89062,vmcache,32,1000,tpcc,2048,94.4103,72.213,313,65278,572,1,2331.36
174,50159,266.496,0,vmcache,32,1000,tpcc,2048,94.966,72.413,374,0,0,1,0
175,46752,247.977,4.32812,vmcache,32,1000,tpcc,2048,94.8551,72.9056,399,51398,1283,1,2336.27
176,47932,245.691,2.85938,vmcache,32,1000,tpcc,2048,94.6302,73.4536,334,60888,850,1,2341.85
177,46583,245.508,4.78516,vmcache,32,1000,tpcc,2048,94.3525,74.0233,327,64379,1416,1,2299.25
178,51360,266.113,0,vmcache,32,1000,tpcc,2048,94.9056,74.2248,367,0,0,1,0
179,48738,246.582,4.42188,vmcache,32,1000,tpcc,2048,94.7535,74.7364,348,54873,1330,1,2286.38
180,48021,246.312,2.73438,vmcache,32,1000,tpcc,2048,94.4966,75.3024,326,63798,828,1,2278.5
181,49660,246.957,2.57812,vmcache,32,1000,tpcc,2048,94.5616,75.7081,366,36707,766,1,2294.19
182,51883,264.508,0,vmcache,32,1000,tpcc,2048,94.7805,76.0737,366,27603,0,1,2300.25
183,49282,245.543,2.5,vmcache,32,1000,tpcc,2048,94.5582,76.6217,355,60803,746,1,2251.96
184,48676,247.043,3.57031,vmcache,32,1000,tpcc,2048,94.3641,77.1561,398,58430,1051,1,2247.31
185,54011,265.109,0,vmcache,32,1000,tpcc,2048,94.9203,77.355,359,0,0,1,0
186,50557,247.52,3.70312,vmcache,32,1000,tpcc,2048,94.7625,77.8739,377,55642,1126,1,2225.68
187,50682,247.227,4.45312,vmcache,32,1000,tpcc,2048,94.6347,78.3748,348,52737,1353,1,2197.38
188,52506,250.648,3.39062,vmcache,32,1000,tpcc,2048,94.4885,78.8946,375,55410,1044,1,2216.4
189,50440,248.703,2.78906,vmcache,32,1000,tpcc,2048,94.9746,79.0944,403,2147,851,1,2147
190,55020,263.883,0,vmcache,32,1000,tpcc,2048,94.8695,79.6227,376,55178,0,1,2207.12
191,51853,248.844,3.66406,vmcache,32,1000,tpcc,2048,94.731,80.1356,377,54609,1101,1,2184.36
192,52691,247.562,2.66797,vmcache,32,1000,tpcc,2048,94.7239,80.5821,382,43519,828,1,2175.95
193,52955,246.758,1.85547,vmcache,32,1000,tpcc,2048,94.4639,81.1559,402,65213,574,1,2173.77
194,54355,256.062,2.76562,vmcache,32,1000,tpcc,2048,94.9988,81.3482,391,0,842,1,0
195,56596,260.301,0,vmcache,32,1000,tpcc,2048,94.9059,81.8683,435,54503,0,1,2180.12
196,53481,247.586,2.43359,vmcache,32,1000,tpcc,2048,94.7197,82.406,401,58763,764,1,2176.41
197,53583,249.375,4.09766,vmcache,32,1000,tpcc,2048,94.6181,82.902,372,51809,1246,1,2158.71
198,55073,249.191,2.62109,vmcache,32,1000,tpcc,2048,94.5047,83.4078,390,53572,818,1,2142.88
199,55253,246.949,2.93359,vmcache,32,1000,tpcc,2048,94.4574,83.8763,394,47272,905,1,2148.73
200,57492,257.297,2.40625,vmcache,32,1000,tpcc,2048,94.9996,84.0698,432,0,748,1,0
201,57747,259.039,0,vmcache,32,1000,tpcc,2048,94.9477,84.5699,437,51282,0,1,2136.75
202,55596,246.461,4.22266,vmcache,32,1000,tpcc,2048,94.8008,85.0858,407,55445,1334,1,2132.5
203,56331,249.188,2.73828,vmcache,32,1000,tpcc,2048,94.7082,85.5841,413,51944,850,1,2164.33
204,57061,248.238,2.60938,vmcache,32,1000,tpcc,2048,94.5905,86.0941,428,54269,820,1,2170.76
205,57534,249.102,4.52344,vmcache,32,1000,tpcc,2048,94.4898,86.5941,464,52320,1451,1,2274.78
206,57629,248.887,4.38672,vmcache,32,1000,tpcc,2048,94.4147,87.0816,417,50305,1371,1,2286.59
207,62603,267.137,1.75781,vmcache,32,1000,tpcc,2048,95.0003,87.2812,466,0,0,1,0
208,57582,249.461,0,vmcache,32,1000,tpcc,2048,94.7888,87.8424,382,62675,544,1,2238.39
209,58223,249.434,3.09766,vmcache,32,1000,tpcc,2048,94.6331,88.375,451,57910,965,1,2227.31
210,58379,246.336,3.86328,vmcache,32,1000,tpcc,2048,94.5391,88.8697,386,51970,1178,1,2165.42
211,59000,250.945,1.18359,vmcache,32,1000,tpcc,2048,94.4167,89.3921,455,56104,342,1,2157.85
212,64228,265.164,2.40625,vmcache,32,1000,tpcc,2048,94.9935,89.5911,500,0,739,1,0
213,60400,250.746,0.699219,vmcache,32,1000,tpcc,2048,94.8994,90.1012,442,53836,210,1,2153.44
214,61334,252.031,4.13672,vmcache,32,1000,tpcc,2048,94.8993,90.5611,423,45357,1254,1,2159.86
215,61632,248.406,3.47266,vmcache,32,1000,tpcc,2048,94.7607,91.086,463,56816,1064,1,2185.23
216,61470,249.691,4.19922,vmcache,32,1000,tpcc,2048,94.6753,91.5863,438,52373,1251,1,2182.21
217,61653,250.078,4.14453,vmcache,32,1000,tpcc,2048,94.6643,92.0501,452,46363,1225,1,2207.76
218,62995,251.879,3.57031,vmcache,32,1000,tpcc,2048,94.634,92.5275,477,48480,1050,1,2203.64
219,63390,251.379,3.45703,vmcache,32,1000,tpcc,2048,94.5457,93.0337,466,53300,1001,1,2220.83
220,61553,248.344,3.38281,vmcache,32,1000,tpcc,2048,94.4246,93.5516,439,55463,976,1,2218.52
221,65771,259.094,0.972656,vmcache,32,1000,tpcc,2048,94.9992,93.7466,463,0,277,1,0
222,65474,256.863,0,vmcache,32,1000,tpcc,2048,94.859,94.2976,477,59976,0,1,2221.33
223,62830,248.691,2,vmcache,32,1000,tpcc,2048,94.8031,94.788,465,51197,583,1,2225.96
224,45426,174.93,136.777,vmcache,32,1000,tpcc,2048,94.5632,94.9996,314,51297,39645,1,2230.3
225,52289,203.273,293.148,vmcache,32,1000,tpcc,2048,94.2097,95.0573,395,67467,83800,1,2248.9
226,59500,244.605,142.891,vmcache,32,1000,tpcc,2048,94.757,94.9919,475,0,41824,1,0
227,52229,206.562,291.102,vmcache,32,1000,tpcc,2048,94.5343,94.9898,384,55922,83797,1,2236.88
228,55147,214.59,232.016,vmcache,32,1000,tpcc,2048,94.2532,95.1347,433,63388,66738,1,2263.86
229,58194,240.969,184.438,vmcache,32,1000,tpcc,2048,94.7877,94.9989,432,0,53330,1,0
230,53660,212.66,271.402,vmcache,32,1000,tpcc,2048,94.6548,94.9968,387,49799,78337,1,2263.59
231,50167,200.402,320.016,vmcache,32,1000,tpcc,2048,94.3149,94.9934,345,65808,92116,1,2269.24
232,62879,254.426,109.617,vmcache,32,1000,tpcc,2048,94.8818,94.9977,459,0,31424,1,0
233,53469,214.383,268.637,vmcache,32,1000,tpcc,2048,94.7556,94.9985,388,50018,77766,1,2273.55
234,51944,205.5,308.172,vmcache,32,1000,tpcc,2048,94.4685,94.9968,403,61326,88973,1,2271.33
