vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 exmap:0
space: 90.3259 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
422,70520,346.191,367.777,vmcache,32,500,tpcc,64
423,70319,331.062,359.484,vmcache,32,500,tpcc,64
424,68423,335.598,349.996,vmcache,32,500,tpcc,64
425,69942,337.484,366.871,vmcache,32,500,tpcc,64
426,71375,342.57,359.523,vmcache,32,500,tpcc,64
427,68082,333.055,352.375,vmcache,32,500,tpcc,64
428,70980,342.719,364.105,vmcache,32,500,tpcc,64
429,71597,338.371,366.352,vmcache,32,500,tpcc,64
430,69856,341.82,358.273,vmcache,32,500,tpcc,64
431,70380,334.523,357.629,vmcache,32,500,tpcc,64
432,66814,325.051,345.625,vmcache,32,500,tpcc,64
433,69969,335.867,355.824,vmcache,32,500,tpcc,64
434,68531,332.23,359.047,vmcache,32,500,tpcc,64
435,68659,336.898,350.172,vmcache,32,500,tpcc,64
436,69947,337.648,358.762,vmcache,32,500,tpcc,64
437,71423,343.895,366.156,vmcache,32,500,tpcc,64
438,70535,344.688,365.52,vmcache,32,500,tpcc,64
439,70015,333.496,359.547,vmcache,32,500,tpcc,64
440,68420,335.07,353.133,vmcache,32,500,tpcc,64
441,70011,338.289,359.445,vmcache,32,500,tpcc,64
442,70016,337.758,362.859,vmcache,32,500,tpcc,64
443,67859,330.527,352.512,vmcache,32,500,tpcc,64
444,69716,336.539,350.273,vmcache,32,500,tpcc,64
445,70951,344.863,366.926,vmcache,32,500,tpcc,64
446,70841,345.898,367.062,vmcache,32,500,tpcc,64
447,69859,338.582,359.918,vmcache,32,500,tpcc,64
448,71977,345.508,365.941,vmcache,32,500,tpcc,64
449,69532,337.734,359.332,vmcache,32,500,tpcc,64
450,69388,336.98,358.598,vmcache,32,500,tpcc,64
451,66883,331.27,357.898,vmcache,32,500,tpcc,64
452,70163,337.84,359.512,vmcache,32,500,tpcc,64
453,71462,349.684,366.855,vmcache,32,500,tpcc,64
454,72356,346.402,366.648,vmcache,32,500,tpcc,64
455,69377,338.047,359.164,vmcache,32,500,tpcc,64
456,70540,340.086,365.824,vmcache,32,500,tpcc,64
457,70891,343.184,361.406,vmcache,32,500,tpcc,64
458,69686,338.305,359.918,vmcache,32,500,tpcc,64
459,68194,329.32,351.844,vmcache,32,500,tpcc,64
460,69639,336.125,354.676,vmcache,32,500,tpcc,64
461,69440,338.477,358.551,vmcache,32,500,tpcc,64
462,72968,351.164,373.637,vmcache,32,500,tpcc,64
463,71016,343.766,365.387,vmcache,32,500,tpcc,64
464,70335,338.91,359.25,vmcache,32,500,tpcc,64
465,71572,344.5,371.066,vmcache,32,500,tpcc,64
466,70827,344.535,361.77,vmcache,32,500,tpcc,64
467,69470,338.133,358.977,vmcache,32,500,tpcc,64
468,69090,335.008,359.043,vmcache,32,500,tpcc,64
